method,family,time_s,SHD,F1,FDR,precision,recall,TP,FP,FN,skel_SHD,skel_F1,skel_FDR,skel_precision,skel_recall,n_pred,n_true,directed_SHD,directed_F1,bidirected_marks,metric_type
PC,IID,1.1,21,0.476,0.583,0.417,0.556,10.0,14.0,8.0,20,0.524,0.542,0.458,0.611,24,18,,,,directed
FCI,IID,0.6,20,0.524,0.542,0.458,0.611,,,,20,0.524,,,,4,18,19.0,0.091,13.0,skeleton
CD-NOD,IID,0.3,23,0.419,0.64,0.36,0.5,9.0,16.0,9.0,21,0.512,0.56,0.44,0.611,25,18,,,,directed
LiNGAM,IID,0.9,22,0.368,0.65,0.35,0.389,7.0,13.0,11.0,20,0.474,0.55,0.45,0.5,20,18,,,,directed
DAG-GNN,IID,146.8,32,0.2,0.844,0.156,0.278,5.0,27.0,13.0,24,0.52,0.594,0.406,0.722,32,18,,,,directed
GES,IID,0.4,28,0.208,0.833,0.167,0.278,5.0,25.0,13.0,18,0.625,0.5,0.5,0.833,30,18,,,,directed
PCMCI,TimeSeries,5.8,25,0.286,0.83,0.17,0.889,8.0,39.0,1.0,20,0.444,0.714,0.286,1.0,47,9,,,,directed
PCMCI+,TimeSeries,10.4,17,0.211,0.862,0.138,0.444,4.0,25.0,5.0,12,0.538,0.611,0.389,0.875,29,9,,,,directed
TCDF,TimeSeries,25.4,7,0.4,0.5,0.5,0.333,3.0,3.0,6.0,5,0.615,0.2,0.8,0.5,6,9,,,,directed
LPCMCI,TimeSeries,14.3,13,0.48,0.647,0.353,0.75,,,,13,0.48,,,,17,9,14.0,0.231,3.0,skeleton
